linhaFonte,codigoProdutoLegado,descricaoCadastro,numeroLote,validade,quantidade,custoUnitario,observacao
81,BR10001,BROMETO DE ROCURONIO 10MG/5ML - CX/25 - VOLPHARMA,A0830107,2027-07-31,36,4,IMPORT_PRODUTOS_854968:linha=81:codigo=BR10001 | nomeOriginal=BROMETO DE ROCURONIO 10MG/5ML - CX/25 - VOLPHARMA LT: A0830107 VAL: 07/27 | fornecedorLegado=0
98,CTL0004,CATETER DUPLO LUMEN 7FRX20CM - BIOMEDICAL,202412008,2027-12-31,2,38,IMPORT_PRODUTOS_854968:linha=98:codigo=CTL0004 | nomeOriginal=CATETER DUPLO LUMEN 7FRX20CM - BIOMEDICAL LT: 202412008 VL: 12/27 | fornecedorLegado=0
100,CDL0003,CATETER DUPLO LUMEN 7FRX20CM - MEDIKA IND,391225CV,2028-12-31,6,25,IMPORT_PRODUTOS_854968:linha=100:codigo=CDL0003 | nomeOriginal=CATETER DUPLO LUMEN 7FRX20CM - MEDIKA IND - LT: 391225CV VL: 12/28 | fornecedorLegado=BRUNMED CIRURGICA
101,CDL0004,CATETER DUPLO LUMEN 7FRX20CM - MEDIKA IND,480226CV,2029-02-28,11,25,IMPORT_PRODUTOS_854968:linha=101:codigo=CDL0004 | nomeOriginal=CATETER DUPLO LUMEN 7FRX20CM - MEDIKA IND - LT: 480226CV VL: 02/29 | fornecedorLegado=BRUNMED CIRURGICA
113,CPP0003,CATÉTER P/ PUNÇÃO ARTERIAL 3FX8CM EM PEBAX MICROSELD (RADIAL) - INTRA GMBH,M101341,2028-04-30,1,30,IMPORT_PRODUTOS_854968:linha=113:codigo=CPP0003 | nomeOriginal=CATÉTER P/ PUNÇÃO ARTERIAL 3FX8CM EM PEBAX MICROSELD (RADIAL) - INTRA GMBH - LT: M101341 VL: 04/28 | fornecedorLegado=0
124,CTL0002,CATETER TRIPLO LUMEN 7FRX20CM - ALIVE HEART,T251203A,2030-12-31,1,25,IMPORT_PRODUTOS_854968:linha=124:codigo=CTL0002 | nomeOriginal=CATETER TRIPLO LUMEN 7FRX20CM - ALIVE HEART - LT: T251203A VL: 12/30 | fornecedorLegado=0
142,CS10025,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25110357,2027-10-31,27,2.5,IMPORT_PRODUTOS_854968:linha=142:codigo=CS10025 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25110357 VL: 10/27 | fornecedorLegado=0
143,CS10026,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25111982,2027-11-30,6,2.5,IMPORT_PRODUTOS_854968:linha=143:codigo=CS10026 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25111982 VL: 11/27 | fornecedorLegado=0
144,CS10024,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25112226,2027-11-30,10,2.5,IMPORT_PRODUTOS_854968:linha=144:codigo=CS10024 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25112226 VL: 11/27 | fornecedorLegado=0
145,CS10018,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25121430,2027-11-30,100,2.5,IMPORT_PRODUTOS_854968:linha=145:codigo=CS10018 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25121430 VL: 11/27 | fornecedorLegado=0
146,CS10030,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25121710,2027-12-31,6,2.5,IMPORT_PRODUTOS_854968:linha=146:codigo=CS10030 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25121710 VL: 12/27 | fornecedorLegado=0
147,CS10023,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25121730,2027-12-31,9,2.5,IMPORT_PRODUTOS_854968:linha=147:codigo=CS10023 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25121730 VL: 12/27 | fornecedorLegado=0
148,CS10021,CEFAZOLINA SÓDICA 1G C/50 - BLAU,25121731,2027-12-31,12,2.5,IMPORT_PRODUTOS_854968:linha=148:codigo=CS10021 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 25121731 VL: 12/27 | fornecedorLegado=0
149,CS10019,CEFAZOLINA SÓDICA 1G C/50 - BLAU,26011752,2028-01-31,50,2.5,IMPORT_PRODUTOS_854968:linha=149:codigo=CS10019 | nomeOriginal=CEFAZOLINA SÓDICA 1G C/50 - BLAU - LT: 26011752 VL: 01/28 | fornecedorLegado=0
159,CAS0002,CEFTAZIDIMA PENTAIDRATADA 1G CX/25 - ABL,112144C,2027-03-31,725,6,IMPORT_PRODUTOS_854968:linha=159:codigo=CAS0002 | nomeOriginal=CEFTAZIDIMA PENTAIDRATADA 1G CX/25 - ABL - LT: 112144C VL: 03/27 | fornecedorLegado=NOVAMED
162,C1-0002,CEFTRIAXONA 1G - TEUTO - CX/50,17700022,2028-01-31,250,2.46,IMPORT_PRODUTOS_854968:linha=162:codigo=C1-0002 | nomeOriginal=CEFTRIAXONA 1G - TEUTO - CX/50 - LT: 17700022 VL: 01/28 | fornecedorLegado=0
164,C7-0001,CEFUROXIMA 750MG - CX/25 - BIOCHIMICO,10987,2027-12-31,2,5,IMPORT_PRODUTOS_854968:linha=164:codigo=C7-0001 | nomeOriginal=CEFUROXIMA 750MG - CX/25 - BIOCHIMICO  LT: 10987 VL: 12/27 | fornecedorLegado=0
165,C7-0006,CEFUROXIMA 750MG - CX/25 - EUGIA,BRXIC25014A,2027-07-31,1,5,IMPORT_PRODUTOS_854968:linha=165:codigo=C7-0006 | nomeOriginal=CEFUROXIMA 750MG - CX/25 - EUGIA LT: BRXIC25014A VL: 07/27 | fornecedorLegado=0
166,C7-0007,CEFUROXIMA 750MG - CX/25 - EUGIA,BRXIC25016A,2027-07-31,11,5,IMPORT_PRODUTOS_854968:linha=166:codigo=C7-0007 | nomeOriginal=CEFUROXIMA 750MG - CX/25 - EUGIA LT: BRXIC25016A VL: 07/27 | fornecedorLegado=0
167,T2C0001,CETOPROFENO 100MG CX/50 - EUROFARMA,146927,2028-01-31,50,3.3,IMPORT_PRODUTOS_854968:linha=167:codigo=T2C0001 | nomeOriginal=CETOPROFENO 100MG CX/50 - EUROFARMA - LT: 146927 VAL VL: 01/28 | fornecedorLegado=0
176,C2-0001,CIPROFLOXACINO 2MG/100ML - CX/80 - FRESENIUS,203609,2027-06-30,300,4.5,IMPORT_PRODUTOS_854968:linha=176:codigo=C2-0001 | nomeOriginal=CIPROFLOXACINO 2MG/100ML - CX/80 - FRESENIUS LT: 203609 VL: 06/27 | fornecedorLegado=0
177,C2C0007,CIPROFLOXACINO 2MG/100ML - CX/80 - FRESENIUS,74TK4849,2026-09-30,10,4.5,IMPORT_PRODUTOS_854968:linha=177:codigo=C2C0007 | nomeOriginal=CIPROFLOXACINO 2MG/100ML - CX/80 - FRESENIUS LT: 74TK4849 VL: 09/26 | fornecedorLegado=0
178,C2C0009,CIPROFLOXACINO 2MG/100ML CX/60 - ISOFARMA,5100143,2027-10-31,240,4.5,IMPORT_PRODUTOS_854968:linha=178:codigo=C2C0009 | nomeOriginal=CIPROFLOXACINO 2MG/100ML CX/60 - ISOFARMA - LT: 5100143 VL: 10/27 | fornecedorLegado=0
184,CF00003,CITRATO DE FENTANILA 50MCG/ML 2ML AP CX/50 - HIPOLABOR,AS-015/26M,2028-01-31,100,2.5,IMPORT_PRODUTOS_854968:linha=184:codigo=CF00003 | nomeOriginal=CITRATO DE FENTANILA 50MCG/ML 2ML AP CX/50 - HIPOLABOR - LT: AS-015/26M VL: 01/28 | fornecedorLegado=0
185,CFF0002,"CITRATO DE FENTANILA FENTANEST 0,0785MG/ML 0,05 MG/ML 10ML CX/25 - CRISTÁLIA",50028483,2028-05-31,50,2.5,"IMPORT_PRODUTOS_854968:linha=185:codigo=CFF0002 | nomeOriginal=CITRATO DE FENTANILA FENTANEST 0,0785MG/ML 0,05 MG/ML 10ML CX/25 - CRISTÁLIA - LT: 50028483 VL: 05/28 | fornecedorLegado=0"
200,CS00022,"CLORETO DE SODIO 0,9% 100ML CX/80 - FRESENIUS",74UB0482,2027-01-31,80,3.83,"IMPORT_PRODUTOS_854968:linha=200:codigo=CS00022 | nomeOriginal=CLORETO DE SODIO 0,9%  100ML CX/80 -  FRESENIUS - LT: 74UB0482 VL: 01/27 | fornecedorLegado=0"
202,CS00020,"CLORETO DE SODIO 0,9% 100ML CX/80 - FRESENIUS",74XB0726,2028-01-31,80,3.83,"IMPORT_PRODUTOS_854968:linha=202:codigo=CS00020 | nomeOriginal=CLORETO DE SODIO 0,9%  100ML CX/80 -  FRESENIUS - LT: 74XB0726 VL: 01/28 | fornecedorLegado=0"
209,CS00016,"CLORETO DE SODIO 0,9% 500ML - CX/16 FARMACE",26B12121E,2028-01-31,12,3.83,"IMPORT_PRODUTOS_854968:linha=209:codigo=CS00016 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/16 FARMACE LT 26B12121E VAL 01/28 | fornecedorLegado=0"
211,CS00010,"CLORETO DE SODIO 0,9% 500ML - CX/30 (BOLSA) BAXTER",PR423N3,2026-12-31,1,3.89,"IMPORT_PRODUTOS_854968:linha=211:codigo=CS00010 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/30 (BOLSA) BAXTER LT PR423N3 VL 12/26 | fornecedorLegado=0"
212,CS00108,"CLORETO DE SODIO 0,9% 500ML - CX/30 (BOLSA) BAXTER",PR425N3,2027-01-31,2,3.89,"IMPORT_PRODUTOS_854968:linha=212:codigo=CS00108 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/30 (BOLSA) BAXTER LT PR425N3 VAL 01/27 | fornecedorLegado=0"
214,CS00111,"CLORETO DE SODIO 0,9% 500ML - CX/30 (BOLSA) BAXTER",PR427N9,2027-02-28,1,3.89,"IMPORT_PRODUTOS_854968:linha=214:codigo=CS00111 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/30 (BOLSA) BAXTER LT PR427N9 VAL 02/27 | fornecedorLegado=0"
218,CS00112,"CLORETO DE SODIO 0,9% 500ML - CX/30 (BOLSA) BAXTER",PR441A5,2027-07-31,1,3.89,"IMPORT_PRODUTOS_854968:linha=218:codigo=CS00112 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/30 (BOLSA) BAXTER LT PR441A5 VAL 07/27 | fornecedorLegado=0"
220,CS00105,"CLORETO DE SODIO 0,9% 500ML - CX/30 (BOLSA) BAXTER",PR443P9,2027-08-31,1,3.89,"IMPORT_PRODUTOS_854968:linha=220:codigo=CS00105 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/30 (BOLSA) BAXTER LT PR443P9 VAL 08/27 | fornecedorLegado=0"
224,CS00110,"CLORETO DE SODIO 0,9% 500ML - CX/30 (BOLSA) BAXTER",PR452S8,2027-12-31,1,3.89,"IMPORT_PRODUTOS_854968:linha=224:codigo=CS00110 | nomeOriginal=CLORETO DE SODIO 0,9%  500ML - CX/30 (BOLSA) BAXTER LT PR452S8 VAL 12/27 | fornecedorLegado=0"
238,CS10036,CLORETO DE SUXAMETÔNIO 100MG - CX/1 - UNIAO QUIMICA,2544969,2027-10-31,1,10,IMPORT_PRODUTOS_854968:linha=238:codigo=CS10036 | nomeOriginal=CLORETO DE SUXAMETÔNIO 100MG - CX/1 - UNIAO QUIMICA LT: 2544969 VAL: 10/27 | fornecedorLegado=0
247,CA50006,CLORIDRATO DE AMIODARONA 50MG/ML - CX/100 - HIPOLABOR,AD-035/24,2026-11-30,100,2,IMPORT_PRODUTOS_854968:linha=247:codigo=CA50006 | nomeOriginal=CLORIDRATO DE AMIODARONA 50MG/ML - CX/100 - HIPOLABOR LT: AD-035/24 VAL: 11/26 | fornecedorLegado=0
263,CD20001,CLORIDRATO DE DOBUTAMINA 250MG/20ML CX/10 - HYPOFARMA,25102256,2027-10-31,21,4,IMPORT_PRODUTOS_854968:linha=263:codigo=CD20001 | nomeOriginal=CLORIDRATO DE DOBUTAMINA 250MG/20ML CX/10 - HYPOFARMA - LT: 25102256 VL: 10/27 | fornecedorLegado=0
265,CEK0001,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA,50034633,2027-10-31,22,20,IMPORT_PRODUTOS_854968:linha=265:codigo=CEK0001 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA - LT:  50034633 VL: 10/27 | fornecedorLegado=0
266,CEK0008,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA,50037059,2027-12-31,12,20,IMPORT_PRODUTOS_854968:linha=266:codigo=CEK0008 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA - LT:  50037059 VL: 12/27 | fornecedorLegado=0
267,CEK0007,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA,50038894,2028-02-29,16,20,IMPORT_PRODUTOS_854968:linha=267:codigo=CEK0007 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA - LT:  50038894 VL: 02/28 | fornecedorLegado=0
270,CEK0002,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA,50028890,2027-06-30,15,20,IMPORT_PRODUTOS_854968:linha=270:codigo=CEK0002 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 10ML CX/25 - CRISTÁLIA - LT: 50028890 VL: 06/27 | fornecedorLegado=0
271,CEK0003,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 2ML CX/25 - CRISTÁLIA,50029100,2027-06-30,16,20,IMPORT_PRODUTOS_854968:linha=271:codigo=CEK0003 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 2ML CX/25 - CRISTÁLIA - LT:  50029100 VL: 06/27 | fornecedorLegado=0
272,CEK0006,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 2ML CX/25 - CRISTÁLIA,50031995,2027-08-31,1,20,IMPORT_PRODUTOS_854968:linha=272:codigo=CEK0006 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 2ML CX/25 - CRISTÁLIA - LT:  50031995 VL: 08/27 | fornecedorLegado=0
273,CEK0005,CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 2ML CX/25 - CRISTÁLIA,50032661,2027-09-30,8,20,IMPORT_PRODUTOS_854968:linha=273:codigo=CEK0005 | nomeOriginal=CLORIDRATO DE ESCETAMINA KETAMIN 50MG/ML AP 2ML CX/25 - CRISTÁLIA - LT:  50032661 VL: 09/27 | fornecedorLegado=0
275,CL20013,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50032065,2028-08-31,3,5.3,IMPORT_PRODUTOS_854968:linha=275:codigo=CL20013 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50032065 VL: 08/28 | fornecedorLegado=0
276,CL20007,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50032066,2028-08-31,9,5.3,IMPORT_PRODUTOS_854968:linha=276:codigo=CL20007 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50032066 VL: 08/28 | fornecedorLegado=0
277,CL20014,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50033283,2028-09-30,1,5.3,IMPORT_PRODUTOS_854968:linha=277:codigo=CL20014 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50033283 VL: 09/28 | fornecedorLegado=0
278,CL20015,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50034749,2028-10-31,1,5.3,IMPORT_PRODUTOS_854968:linha=278:codigo=CL20015 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50034749 VL: 10/28 | fornecedorLegado=0
279,CL20011,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50034754,2028-10-31,8,5.3,IMPORT_PRODUTOS_854968:linha=279:codigo=CL20011 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50034754 VL: 10/28 | fornecedorLegado=0
280,CL20008,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50034755,2028-10-31,14,5.3,IMPORT_PRODUTOS_854968:linha=280:codigo=CL20008 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50034755 VL: 10/28 | fornecedorLegado=0
281,CL20009,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50035562,2028-11-30,7,5.3,IMPORT_PRODUTOS_854968:linha=281:codigo=CL20009 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50035562 VL: 11/28 | fornecedorLegado=0
282,CL20010,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50035563,2028-11-30,13,5.3,IMPORT_PRODUTOS_854968:linha=282:codigo=CL20010 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50035563 VL: 11/28 | fornecedorLegado=0
284,CL20012,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA,50038187,2029-01-31,4,5.3,IMPORT_PRODUTOS_854968:linha=284:codigo=CL20012 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - CRISTALIA - LT: 50038187 VL: 01/29 | fornecedorLegado=0
286,CL20004,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - HYPOFARMA,26030610,2028-03-31,20,5.3,IMPORT_PRODUTOS_854968:linha=286:codigo=CL20004 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - HYPOFARMA - LT: 26030610 VL: 03/28 | fornecedorLegado=0
287,CL20005,CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - HYPOFARMA,26030611,2028-03-31,50,5.3,IMPORT_PRODUTOS_854968:linha=287:codigo=CL20005 | nomeOriginal=CLORIDRATO DE LIDOCAINA 2% 20ML SV CX/25 - HYPOFARMA - LT: 26030611 VL: 03/28 | fornecedorLegado=0
288,CLG0021,CLORIDRATO DE LIDOCAINA GELEIA 2% - 20MG - 1 BISNAGA 30G - CRISTALIA,50029709,2027-06-30,1,2.5,IMPORT_PRODUTOS_854968:linha=288:codigo=CLG0021 | nomeOriginal=CLORIDRATO DE LIDOCAINA GELEIA 2% - 20MG - 1 BISNAGA 30G - CRISTALIA LT: 50029709 VAL: 06/27 | fornecedorLegado=0
291,CLG0005,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25F1183,2027-08-31,2,2.5,IMPORT_PRODUTOS_854968:linha=291:codigo=CLG0005 | nomeOriginal=CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA LT: B25F1183 VL: 08/27 | fornecedorLegado=0
298,CLG0002,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25K0272,2027-10-31,19,2.5,IMPORT_PRODUTOS_854968:linha=298:codigo=CLG0002 | nomeOriginal=CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA LT: B25K0272 VL: 10/27 | fornecedorLegado=0
299,CLG0006,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25K0275,2027-10-31,127,2.5,IMPORT_PRODUTOS_854968:linha=299:codigo=CLG0006 | nomeOriginal=CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA LT: B25K0275 VL: 10/27 | fornecedorLegado=0
300,CLG0004,CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA,B25M0923,2028-01-31,1,2.5,IMPORT_PRODUTOS_854968:linha=300:codigo=CLG0004 | nomeOriginal=CLORIDRATO DE LIDOCAINA GELEIA 2%/20MG - 1 BISNAGA 30G - NEOQUIMICA LT: B25M0923 VL: 01/28 | fornecedorLegado=0
302,CON0001,CLORIDRATO DE ONDANSETRONA 4MG/ML 2ML AP CX/50 - HIPOLABOR,AQ-107/25,2027-11-30,50,1.08,IMPORT_PRODUTOS_854968:linha=302:codigo=CON0001 | nomeOriginal=CLORIDRATO DE ONDANSETRONA 4MG/ML 2ML AP CX/50 - HIPOLABOR - LT: AQ-107/25 VL: 11/27 | fornecedorLegado=0
303,CO40002,CLORIDRATO DE ONDANSETRONA NAUSEDRON 2MG/ML 4ML AP CX/50 - CRISTÁLIA,50020718,2026-10-31,200,1.08,IMPORT_PRODUTOS_854968:linha=303:codigo=CO40002 | nomeOriginal=CLORIDRATO DE ONDANSETRONA NAUSEDRON 2MG/ML 4ML AP CX/50 - CRISTÁLIA - LT: 50020718 VL: 10/26 | fornecedorLegado=0
308,CR20006,CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA,50032436,2027-09-30,1,5,IMPORT_PRODUTOS_854968:linha=308:codigo=CR20006 | nomeOriginal=CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA LT: 50032436 VL: 09/27 | fornecedorLegado=0
309,CR20005,CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA,50032441,2027-09-30,1,5,IMPORT_PRODUTOS_854968:linha=309:codigo=CR20005 | nomeOriginal=CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA LT: 50032441 VL: 09/27 | fornecedorLegado=0
310,CR20001,CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA,50035086,2027-10-31,3,5,IMPORT_PRODUTOS_854968:linha=310:codigo=CR20001 | nomeOriginal=CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA LT: 50035086 VAL: 10/27 | fornecedorLegado=0
313,CR20002,CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA,50036318,2027-12-31,8,5,IMPORT_PRODUTOS_854968:linha=313:codigo=CR20002 | nomeOriginal=CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA LT: 50036318 VAL: 12/27 | fornecedorLegado=0
315,CR20004,CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA,50038598,2028-02-29,17,5,IMPORT_PRODUTOS_854968:linha=315:codigo=CR20004 | nomeOriginal=CLORIDRATO DE REMIFENTANILA 2MG - CX/5 - CRISTALIA LT: 50038598 VL:02/28 | fornecedorLegado=0
319,CV50014,CLORIDRATO DE VANCOMICINA 500MG - CX/20 - BLAU,25090204,2027-08-31,2,3.5,IMPORT_PRODUTOS_854968:linha=319:codigo=CV50014 | nomeOriginal=CLORIDRATO DE VANCOMICINA 500MG - CX/20 - BLAU LT: 25090204 VAL: 08/27 | fornecedorLegado=0
320,CV50019,CLORIDRATO DE VANCOMICINA 500MG - CX/20 - BLAU,25120370,2027-11-30,2,0,IMPORT_PRODUTOS_854968:linha=320:codigo=CV50019 | nomeOriginal=CLORIDRATO DE VANCOMICINA 500MG - CX/20 - BLAU LT: 25120370 VAL: 11/27 | fornecedorLegado=0
324,CV50017,CLORIDRATO DE VANCOMICINA 500MG CX/50 - TEUTO,1935593,2027-08-31,6,2,IMPORT_PRODUTOS_854968:linha=324:codigo=CV50017 | nomeOriginal=CLORIDRATO DE VANCOMICINA 500MG CX/50 - TEUTO - LT: 1935593 VL: 08/27 | fornecedorLegado=0
327,CL20001,CLORIDRATO LIDOCAINA 2% 20ML SV CX/25 - HYPOFARMA,26030608,2028-03-31,36,5.3,IMPORT_PRODUTOS_854968:linha=327:codigo=CL20001 | nomeOriginal=CLORIDRATO LIDOCAINA 2% 20ML SV CX/25 - HYPOFARMA - LT: 26030608 VL: 03/28 | fornecedorLegado=0
330,C0+0001,"COLAGENASE 0,6U/G + CLORANFENICOL 0,01G/G 30G - CRISTÁLIA",50032225,2027-08-31,3,5,"IMPORT_PRODUTOS_854968:linha=330:codigo=C0+0001 | nomeOriginal=COLAGENASE 0,6U/G + CLORANFENICOL 0,01G/G 30G - CRISTÁLIA - LT: 50032225 VL: 08/27 | fornecedorLegado=0"
336,CUS0005,COLETOR DE URINA SIST. FECHADO 2000ML BOLSA C/P COLETA ESTERIL - MEDIX - CX/100,230920,2028-08-31,175,2.75,IMPORT_PRODUTOS_854968:linha=336:codigo=CUS0005 | nomeOriginal=COLETOR DE URINA SIST. FECHADO 2000ML BOLSA C/P COLETA ESTERIL - MEDIX - CX/100 LT: 230920 VL: 08/28 | fornecedorLegado=0
353,CNI0002,CONTRASTE NÃO IONICO 300MG/50ML - OMNIPAQUE,17304578,2027-07-31,1,55,IMPORT_PRODUTOS_854968:linha=353:codigo=CNI0002 | nomeOriginal=CONTRASTE NÃO IONICO 300MG/50ML  - OMNIPAQUE - LT: 17304578 VL: 07/27 | fornecedorLegado=0
357,CNI0018,CONTRASTE NÃO IONICO HENETIX 350/100ML,23WF355A,2026-07-31,1,100,IMPORT_PRODUTOS_854968:linha=357:codigo=CNI0018 | nomeOriginal=CONTRASTE NÃO IONICO HENETIX 350/100ML LT: 23WF355A VAL: 07/26 | fornecedorLegado=0
360,CB60002,CREME BARREIRA 60G - CX/12 - PROLINK,P26020107,2028-02-29,60,10.2,IMPORT_PRODUTOS_854968:linha=360:codigo=CB60002 | nomeOriginal=CREME BARREIRA 60G - CX/12 - PROLINK LT: P26020107 VL: 02/28 | fornecedorLegado=0
361,C1C0001,CURATIVO 10X12 CM - SMITH&NEPHEW,202445,2027-11-30,37,1,IMPORT_PRODUTOS_854968:linha=361:codigo=C1C0001 | nomeOriginal=CURATIVO 10X12 CM - SMITH&NEPHEW - LT: 202445 VL: 11/27 | fornecedorLegado=0
362,C1C0002,CURATIVO 10X12 CM - SMITH&NEPHEW,202452,2027-12-31,105,1,IMPORT_PRODUTOS_854968:linha=362:codigo=C1C0002 | nomeOriginal=CURATIVO 10X12 CM - SMITH&NEPHEW - LT: 202452 VL: 12/27 | fornecedorLegado=0
363,C1C0003,CURATIVO 10X12 CM - SMITH&NEPHEW,202504,2028-01-31,28,1,IMPORT_PRODUTOS_854968:linha=363:codigo=C1C0003 | nomeOriginal=CURATIVO 10X12 CM - SMITH&NEPHEW - LT: 202504 VL: 01/28 | fornecedorLegado=0
364,C1C0004,CURATIVO 10X12 CM TEGADERM - 3M,344YEN,2028-03-31,1,1,IMPORT_PRODUTOS_854968:linha=364:codigo=C1C0004 | nomeOriginal=CURATIVO 10X12 CM TEGADERM - 3M - LT: 344YEN VL: 03/28 | fornecedorLegado=0
367,CS(0002,CURATIVO SURGICEL (1951) 5.1CM X 35.6CM 2INX14IN - ETHICON,100SGB,2028-12-31,14,2,IMPORT_PRODUTOS_854968:linha=367:codigo=CS(0002 | nomeOriginal=CURATIVO SURGICEL (1951) 5.1CM X 35.6CM 2INX14IN - ETHICON - LT: 100SGB VL: 12/28 | fornecedorLegado=0
