linhaFonte,codigoProdutoLegado,descricaoCadastro,numeroLote,validade,quantidade,custoUnitario,observacao
586,M5-0001,MEROPENEM 1G - CX/25 - BIO CHIMICO,010847,2027-07-31,25,7,IMPORT_PRODUTOS_854968:linha=586:codigo=M5-0001 | nomeOriginal=MEROPENEM 1G - CX/25 - BIO CHIMICO LT: 010847 VL: 07/27 | fornecedorLegado=0
600,M1C0001,MEROPENEM 500MG CX/10 - FRESENIUS,78XC1096,2028-03-31,40,7,IMPORT_PRODUTOS_854968:linha=600:codigo=M1C0001 | nomeOriginal=MEROPENEM 500MG CX/10 - FRESENIUS - LT: 78XC1096 VL: 03/28 | fornecedorLegado=0
613,NF20001,NEO FEDIPINA 20MG 30/CP NEO QUIMICA,B23J2146,2026-09-30,3270,1,IMPORT_PRODUTOS_854968:linha=613:codigo=NF20001 | nomeOriginal=NEO FEDIPINA 20MG  30/CP NEO QUIMICA LT: B23J2146 VAL: 09/26 | fornecedorLegado=0
615,NE20002,NEURO ESPONJA 2.5X7.6 CM DETECTÁVEL AO RAIO-X - PCT/ 10 - DEROYAL,2103081,2027-10-31,1,1,IMPORT_PRODUTOS_854968:linha=615:codigo=NE20002 | nomeOriginal=NEURO ESPONJA 2.5X7.6 CM DETECTÁVEL AO RAIO-X - PCT/ 10 - DEROYAL - LT: 2103081 VL: 10/27 | fornecedorLegado=0
617,NE20003,NEURO ESPONJA 2.5X7.6 CM DETECTÁVEL AO RAIO-X - PCT/ 10 - DEROYAL,22123781,2027-12-31,2,1,IMPORT_PRODUTOS_854968:linha=617:codigo=NE20003 | nomeOriginal=NEURO ESPONJA 2.5X7.6 CM DETECTÁVEL AO RAIO-X - PCT/ 10 - DEROYAL - LT: 22123781 VL: 12/27 | fornecedorLegado=0
624,N550003,NITROGLICERINA 5MG/ML 5ML - CX/10 - CRISTALIA (TRIDIL),50036295,2027-12-31,3,10,IMPORT_PRODUTOS_854968:linha=624:codigo=N550003 | nomeOriginal=NITROGLICERINA 5MG/ML 5ML - CX/10 - CRISTALIA (TRIDIL) LT: 50036295 VAL: 12/27 | fornecedorLegado=0
646,P+T0002,PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - TEUTO,45370061,2027-10-31,20,9,IMPORT_PRODUTOS_854968:linha=646:codigo=P+T0002 | nomeOriginal=PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - TEUTO - LT: 45370061 VL: 10/27 | fornecedorLegado=0
647,P+T0003,PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - TEUTO,45370064,2027-11-30,19,9,IMPORT_PRODUTOS_854968:linha=647:codigo=P+T0003 | nomeOriginal=PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - TEUTO - LT: 45370064 VL: 11/27 | fornecedorLegado=0
648,P+T0004,PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - UNIÃO QUÍMICA,PT0425056A,2027-01-31,10,9,IMPORT_PRODUTOS_854968:linha=648:codigo=P+T0004 | nomeOriginal=PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - UNIÃO QUÍMICA - LT: PT0425056A VL: 01/27 | fornecedorLegado=0
652,P+T0006,PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - VIATRIS,5200881,2027-07-31,550,9,IMPORT_PRODUTOS_854968:linha=652:codigo=P+T0006 | nomeOriginal=PIPERACILINA + TAZOBACTAM 4G + 500MG - CX/10 - VIATRIS LT: 5200881 VL: 07/27 | fornecedorLegado=0
653,P110001,PROPOFOL 1% 10MG/ML 20ML - CX/10 - CRISTÁLIA,50024951,2026-08-31,40,6,IMPORT_PRODUTOS_854968:linha=653:codigo=P110001 | nomeOriginal=PROPOFOL 1% 10MG/ML 20ML - CX/10 - CRISTÁLIA - LT: 50024951 VL: 08/26 | fornecedorLegado=0
655,P110008,PROPOFOL 1% 10MG/ML 20ML - CX/5 - BAXTER,A0I0476A,2027-07-31,2,6,IMPORT_PRODUTOS_854968:linha=655:codigo=P110008 | nomeOriginal=PROPOFOL 1% 10MG/ML 20ML - CX/5 - BAXTER - LT: A0I0476A VAL: 07/27 | fornecedorLegado=0
656,P1-0002,PROPOFOL 10MG/20ML - CX/5 - MIDFARMA,24PF20095,2026-09-30,130,5,IMPORT_PRODUTOS_854968:linha=656:codigo=P1-0002 | nomeOriginal=PROPOFOL 10MG/20ML - CX/5 - MIDFARMA LT: 24PF20095 VL: 09/26 | fornecedorLegado=0
657,P1-0003,PROPOFOL 10MG/20ML - CX/5 - MIDFARMA,24PF20106,2026-10-31,30,5,IMPORT_PRODUTOS_854968:linha=657:codigo=P1-0003 | nomeOriginal=PROPOFOL 10MG/20ML - CX/5 - MIDFARMA LT: 24PF20106 VL: 10/26 | fornecedorLegado=0
660,P2B0019,PROPOFOL 20ML B BRAUN CX/5,25136050,2027-02-28,1,6,IMPORT_PRODUTOS_854968:linha=660:codigo=P2B0019 | nomeOriginal=PROPOFOL 20ML B BRAUN CX/5 - LT 25136050 VAL 02/27 | fornecedorLegado=0
661,RCL0012,RINGER C/ LACTADO 500ML (BOLSA) BAXTER CX/30,PR445W7,2027-03-31,14,6.49,IMPORT_PRODUTOS_854968:linha=661:codigo=RCL0012 | nomeOriginal=RINGER C/ LACTADO 500ML (BOLSA) BAXTER CX/30 LT PR445W7 VL 03/27 | fornecedorLegado=0
664,R7C0006,"ROPIVACAINA 7,5MG/1ML CX/25 HYPOFARMA",25041056,2027-04-30,12,6.5,"IMPORT_PRODUTOS_854968:linha=664:codigo=R7C0006 | nomeOriginal=ROPIVACAINA 7,5MG/1ML CX/25 HYPOFARMA  LT:25041056 VAL 04/27 | fornecedorLegado=0"
668,R7C0008,"ROPIVACAINA 7,5MG/20ML CX/25 - TEUTO",6848059,2028-11-30,29,3,"IMPORT_PRODUTOS_854968:linha=668:codigo=R7C0008 | nomeOriginal=ROPIVACAINA 7,5MG/20ML CX/25 - TEUTO -  LT:6848059 - VAL 11/28 | fornecedorLegado=NOVAMED"
669,SÓF0002,SACARATO DE ÓXIDO FÉRRICO 20MG/ML 5ML AP CX/50 - BLAU,26010836,2028-01-31,20,12.1,IMPORT_PRODUTOS_854968:linha=669:codigo=SÓF0002 | nomeOriginal=SACARATO DE ÓXIDO FÉRRICO 20MG/ML 5ML AP CX/50 - BLAU - LT: 26010836  VL: 01/28 | fornecedorLegado=0
726,SS20008,SEVOFLURANO SEVONESS 250ML - BAXTER,S006A614,2027-12-31,1,220,IMPORT_PRODUTOS_854968:linha=726:codigo=SS20008 | nomeOriginal=SEVOFLURANO SEVONESS  250ML - BAXTER - LT: S006A614 VL: 12/27 | fornecedorLegado=0
735,SAS0002,SONDA DE ASPIRAÇÃO SISTEMA FECHADO 24H 14FRX60CM - GUANGZHOU AMK,25033003,2030-03-31,1,15,IMPORT_PRODUTOS_854968:linha=735:codigo=SAS0002 | nomeOriginal=SONDA DE ASPIRAÇÃO SISTEMA FECHADO 24H 14FRX60CM - GUANGZHOU AMK - LT: 25033003 VL: 03/30 | fornecedorLegado=0
736,SAS0001,SONDA DE ASPIRAÇÃO SISTEMA FECHADO 24H 14FRX60CM - GUANGZHOU AMK,25052004,2030-05-31,27,15,IMPORT_PRODUTOS_854968:linha=736:codigo=SAS0001 | nomeOriginal=SONDA DE ASPIRAÇÃO SISTEMA FECHADO 24H 14FRX60CM - GUANGZHOU AMK - LT: 25052004 VL: 05/30 | fornecedorLegado=0
758,SA10005,SULFATO DE ATROPINA 1/4MG 1ML AP CX/100 - FARMACE,AT25M043,2027-11-30,100,0.82,IMPORT_PRODUTOS_854968:linha=758:codigo=SA10005 | nomeOriginal=SULFATO DE ATROPINA 1/4MG 1ML AP CX/100 - FARMACE - LT: AT25M043 VL: 11/27 11/27 | fornecedorLegado=0
760,SA10004,SULFATO DE ATROPINA 1/4MG 1ML AP CX/100 - FARMACE,AT26A006,2027-12-31,100,0.82,IMPORT_PRODUTOS_854968:linha=760:codigo=SA10004 | nomeOriginal=SULFATO DE ATROPINA 1/4MG 1ML AP CX/100 - FARMACE - LT: AT26A006 VL: 12/27 | fornecedorLegado=0
764,SE50005,SULFATO DE EFEDRINA 50MG/ML 1ML - CX/25 - UNIÃO QUIMICA,2601106B,2028-01-31,50,3,IMPORT_PRODUTOS_854968:linha=764:codigo=SE50005 | nomeOriginal=SULFATO DE EFEDRINA 50MG/ML 1ML - CX/25 - UNIÃO QUIMICA LT: 2601106B VL: 01/28 | fornecedorLegado=0
765,SE50006,SULFATO DE EFEDRINA 50MG/ML 1ML - CX/25 - UNIÃO QUIMICA,2620630A,2028-05-31,50,3,IMPORT_PRODUTOS_854968:linha=765:codigo=SE50006 | nomeOriginal=SULFATO DE EFEDRINA 50MG/ML 1ML - CX/25 - UNIÃO QUIMICA LT: 2620630A VL: 05/28 | fornecedorLegado=0
766,SG40001,SULFATO DE GENTAMICINA 40MG/ML 2ML AP CX/100 - HYPOFARMA,25010002,2027-01-31,100,0.5,IMPORT_PRODUTOS_854968:linha=766:codigo=SG40001 | nomeOriginal=SULFATO DE GENTAMICINA 40MG/ML 2ML AP CX/100 - HYPOFARMA - LT: 25010002 VL: 01/27 | fornecedorLegado=0
773,SN+0006,SULFATO DE NEOMICINA + BACITRACINA ZINCICA 15G - EMS,4Y3137,2027-08-31,2,0,IMPORT_PRODUTOS_854968:linha=773:codigo=SN+0006 | nomeOriginal=SULFATO DE NEOMICINA + BACITRACINA ZINCICA 15G - EMS - LT:4Y3137  VAL: 08/27 | fornecedorLegado=0
